Array Design Name	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Comment[AdditionalFile:CDF]	HG-U133A.CDF
Comment[AdditionalFile:CDF]	HG-U133A.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-33
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	genbank	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-33_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[blocks]	Composite Element Database Entry[interpro]	Composite Element Database Entry[locus]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[swall]	Composite Element Database Entry[unigene]	Composite Element Database Entry[genbank]	Composite Element Database Entry[omim]	Composite Element Database Entry[pfam]	Composite Element Database Entry[refseq]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[kegg]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
211494_s_at	AF157492.1	rc_AI144995_at	PR01231	IPR003024	8671	ENSG00000080493	Q9Y6R3	Hs.5462	20835561		HCO3_cotransp	NM_003759	d1hynp_					
211495_x_at	AF114011.1	211495_x_at	PR01234	IPR006052	8741	ENSG00000161955	TN13_HUMAN	Hs.54673	7328556			NM_172088	d1jh5a_					
211496_s_at	M33478.1	162267_r_at	PR00677	IPR001200	5132	ENSG00000116703	Q9UP22	Hs.550	12408668		Phosducin	NM_002597	d1a0rp_					
211497_x_at	AF249671.1	211497_x_at	IPB003350	IPR001356	4824	ENSG00000167034	Q9H2P7	Hs.55999	19923352		homeobox	NM_006167	d1nk3p_					
211498_s_at	AF249669.1	u88542_s_at	IPB003350	IPR001356	4824	ENSG00000167034	Q99801	Hs.55999	19923352		homeobox	NM_006167	d1nk3p_					
211499_s_at	U92268.1	211499_s_at	IPB003605	IPR002290	5600	ENSG00000092984	Q15454	Hs.57732	20128774		pkinase	NM_138993	d1wfc__	2.7.1.38		HOG1		
211500_at	U53442.1	211500_at	IPB003605	IPR003527	5600	ENSG00000092984	Q15759	Hs.57732	20128774		pkinase	NM_138993	d1wfc__	2.7.1.38		HOG1		
211501_s_at	BC001173.1	161743_i_at		IPR000504	8662	ENSG00000106263	Q96G38	Hs.57783	3123230		rrm	NM_003751						
211502_s_at	AF119833.1	af033655_at	IPB003605	IPR002290	5218	ENSG00000058091	Q9UDR0	Hs.57856	22653927		pkinase	NM_012395	d1cm8a_	2.7.1.38		PCTAIRE1		
211503_s_at	AF112206.1	97301_at	IPB000795	IPR005225	51552	ENSG00000119396	RAB2_RAT	Hs.5807	16758368		ras	NM_016322	d1g16a_					
211504_x_at	D87931.1	98504_at	IPB002219	IPR002290	9475	ENSG00000134318	P70336	Hs.58617	3327052		PH	NM_004850	d1cdka_	2.7.1.38		DM	Q27480	
211505_s_at	AL136601.1	211505_s_at		IPR001159		ENSG00000124214	STAU_MOUSE	Hs.381647										
211506_s_at	AF043337.1	211506_s_at	IPB000827	IPR002473	3576	ENSG00000169429	Q9C077	Hs.624	10834978		IL8	NM_000584	d3il8__					
211507_s_at	AF233437.1	211507_s_at	IPB000387	IPR000387	8897	ENSG00000100330	Q9CVQ1	Hs.63302	10835109		FYVE	NM_153050						
211508_s_at	AF006060.1	211508_s_at	IPB001400	IPR001400	2689	ENSG00000173797	SOM2_PANTR	Hs.378728	183177		hormone	NM_022558	d1huw__					
211509_s_at	AB015639.1	160484_at	IPB003388	IPR003388	57142		RTN3_MOUSE	Hs.65450	5902016		Reticulon	NM_020532						
211510_s_at	AF019381.1	1450462_at	IPB000832	IPR003053	1395	ENSG00000106113	Q13324	Hs.66578	4503045		7tm_2	NM_001883						GPCR:CRF1_HUMAN
211512_s_at	AF172450.1	1386986_at	PR01217	IPR002965	11054	ENSG00000060491	Q9NZT5	Hs.67896	14769762			NM_007346						
211513_s_at	AF172449.1	rc_AI044795_at	PR01217	IPR002965	11054	ENSG00000060491	Q9NZT2	Hs.67896	14769762			NM_007346						
211514_at	AF068286.1	211514_at		IPR002290	25778	ENSG00000133059	Q9UI50	Hs.6874										
211515_s_at	AF068286.1	211515_s_at		IPR002290	25778	ENSG00000133059	Q9H6G8	Hs.6874										
211516_at	M96651.1	D90205_s_at	IPB003529	IPR003532	3568	ENSG00000091181	Q14632	Hs.68876	106825			NM_000564						
211517_s_at	M96651.1	D90205_s_at	IPB003529	IPR003532	3568	ENSG00000091181	Q14632	Hs.68876	106825			NM_000564						
211518_s_at	D30751.1	Z22607_at	PR00669	IPR001839	652	ENSG00000125378	P12644	Hs.68879	115073		TGF-beta	NM_130850	d1es7a_					
211519_s_at	AY026505.1	211519_s_at	IPB001752	IPR001752	11004	ENSG00000142945	Q9BWV8	Hs.69360	20141607		kinesin	NM_006845	d1bg2__					
211520_s_at	M64752.1	92943_at	IPB001638	IPR002088	2890	ENSG00000155511	Q96KS7	Hs.319467	4504113		ANF_receptor	NM_000827	d1ewka_	4.2.1.51				
211521_s_at	AF125349.1	211521_s_at	IPB003159	IPR001849	27128	ENSG00000100055	Q9UGT6	Hs.7189	6572255		PH	NM_013385	d1bc9__					
211522_s_at	L03380.1	l28757_at	IPB000276	IPR000276	2798	ENSG00000109163	Q92644	Hs.73064	13959684		7tm_1	NM_000406						GPCR:GRHR_HUMAN
211523_at	L07949.1	l28757_at	IPB000276	IPR001658	2798	ENSG00000109163	Q92644	Hs.73064	13959684		7tm_1	NM_000406						GPCR:GRHR_HUMAN
211524_at	U09609.1	211524_at	IPB000906	IPR002909	4791	ENSG00000077150	Q00653	Hs.73090	19923223		TIG	NM_002502	d1a3qa1					
211525_s_at	L11238.1	211525_s_at	IPB000483	IPR003592	2814	ENSG00000172066	GPV_MOUSE	Hs.73734	4758460		LRR	NM_004488	d1h6ua2					
211526_s_at	BC000673.1	211526_s_at					Q9BW37	Hs.381609										
211527_x_at	M27281.1	rc_AA850734_at	IPB000072	IPR000072	7422	ENSG00000112715	VEGA_RAT	Hs.73793	19923240		PDGF	NM_003376	d1fltv_					
211528_x_at	M90685.1	m11284_s_at	IPB003363	IPR003597	3135	ENSG00000168745	Q9WUY3	Hs.73885	21686656		MHC_I	NM_002127	d1qqda1					
211529_x_at	M90684.1	m11284_s_at	IPB003363	IPR003597	3135	ENSG00000168745	Q9QUL2	Hs.73885	21686656		MHC_I	NM_002127	d1qqda1					
211530_x_at	M90686.1	m11284_s_at	IPB003363	IPR003597	3135	ENSG00000168745	Q9XS16	Hs.73885	21686656		MHC_I	NM_002127	d1qqda1					
211531_x_at	K03205.1	x63004_s_at	IPB002896	IPR006030	5542	ENSG00000173342	Q15218	Hs.283658	2144910			NM_005039						
211532_x_at	L76668.1	211532_x_at		IPR003600	3807	ENSG00000173691	Q9UNB4	Hs.74134	1103681		ig	NM_012312	d2dlia1					
211533_at	M22734.1	rc_AI232379_at	IPB001060	IPR003600	5156	ENSG00000134853	Q26295	Hs.74615	5453870		ig	NM_006206	d1fgka_	2.7.1.38		PDGFR-a		
211534_x_at	U65065.1	U73458_at	IPB000387	IPR000242	5799	ENSG00000155093	Q9Y4F8	Hs.74624	2262075		Y_phosphatase	NM_002847	d1fpra_					
211535_s_at	M60485.1	D12498_s_at	IPB000343	IPR003598	2260	ENSG00000156736	Q9WUR8	Hs.748	182534		ig	NM_023111	d1cvsc1	2.7.1.38		Flg		
211536_x_at	AB009358.2	D76446_s_at	IPB000861	IPR004040	6885	ENSG00000135341	Q9NZ70	Hs.7510	21735564		pkinase	NM_145333	d1fgka_	2.7.1.38		Ctr1		
211537_x_at	AF218074.1	D76446_s_at	IPB000861	IPR004040	6885	ENSG00000135341	Q9NTR4	Hs.7510	21735566		pkinase	NM_003188	d1fgka_	2.7.1.38		Ctr1		
211538_s_at	U56725.1	rc_AA818604_s_at	IPB003494	IPR001023	3303		Q9UQM1	Hs.75452	462325		HSP70	NM_005345	d1ckra_					
211540_s_at	M19701.1	rc_AI178012_at	PR00049	IPR004366	5925	ENSG00000139687	Q92728	Hs.75770	132164		RB_A	NM_000321	d1guxa_					
211541_s_at	U52373.1	rc_AI104012_g_at	IPB002889	IPR002290	1859	ENSG00000157540	O60769	Hs.75842	18765754		pkinase	NM_130438	d1howa_	2.7.1.38		PSK-H2		
211542_x_at	BC004334.1	1374032_at		IPR005326	6204		RS1A_YEAST	Hs.356491	13399310		S10_plectin	NM_001014						
211543_s_at	AF040752.1	1451672_at	IPB002219	IPR002290	2870	ENSG00000048152	Q9EPB9	Hs.76297	20141386		RGS	NM_002082	d1fota_	2.7.1.125		GRK6		
211544_s_at	AB058895.1	211544_s_at					P78470	Hs.380198										
211545_at	AB058895.1	211545_at					P78471	Hs.380198										
211546_x_at	L36674.1	Msa.18660.0_f_at	PR01211	IPR002460	6622	ENSG00000145335	SYUB_HUMAN	Hs.76930	4507109		Synuclein	NM_000345						
211547_s_at	L13387.1	rc_AI234730_at	IPB001680	IPR001680	5048	ENSG00000007168	Q9R2A6	Hs.77318	4557741		WD40	NM_000430	d1erja_	3.1.1.47	MAP00561			
211548_s_at	J05594.1	U44750_at	IPB001509	IPR002347	3248	ENSG00000164120	Q9NZQ5	Hs.77348	129889		adh_short	NM_000860	d1gega_	1.3.1.55				
211549_s_at	U63296.1	1387631_at	IPB001509	IPR002347	3248	ENSG00000164120	AAH18986	Hs.77348	129889		adh_short	NM_000860	d1gega_	1.3.1.55				
211550_at	AF125253.1	rc_AI233224_at	PR01186	IPR000345	1956	ENSG00000146648	Q9UMD8	Hs.77432	2811086		Furin-like	NM_005228	d1iepa_	2.7.1.37		EGFR		
211551_at	K03193.1	rc_AI233224_at	PR01186	IPR002174	1956	ENSG00000146648	Q9UMG5	Hs.77432	2811086		Furin-like	NM_005228	d1iepa_	2.7.1.37		EGFR		
211552_s_at	U24267.1	211552_s_at	IPB002086	IPR005931	8659		Q96IF0	Hs.77448	14043187		aldedh	NM_003748	d1a4sa_	1.5.1.12	MAP00330			
211553_x_at	AF248734.1	rc_AI059814_at	IPB001680	IPR002182	317	ENSG00000120868	Q9UJ67	Hs.77579	4502123		WD40	NM_013229	d1cy5a_					
211554_s_at	AF149794.1	rc_AI059814_at	IPB001680	IPR002182	317	ENSG00000120868	Q9UNC9	Hs.77579	4502123		CARD	NM_013229	d1erja_					
211555_s_at	AF020340.1	93954_at	IPB001054	IPR001054	2983	ENSG00000061918	Q02153	Hs.77890	118056		guanylate_cyc	NM_000857	d1azsa_	4.6.1.2	MAP00230			
211556_at	AB016823.1	1426244_at		IPR004953	10982	ENSG00000166974	Q9UQ33	Hs.78335	10346135		CH	NM_014268						
211557_x_at	AF205073.1	211557_x_at		IPR004157	11309	ENSG00000137491	Q9H2Z0	Hs.7884	11990589		OATP_C	NM_007256						
211558_s_at	U26266.1	211558_s_at	IPB002773	IPR002773	1725	ENSG00000095059	DHYS_HUMAN	Hs.79064	7108338		DS	NM_013406	d1dhs__	1.1.1.249				
211559_s_at	L49506.1	af005885_s_at	IPB000553	IPR004366	901	ENSG00000138764	Q16589	Hs.429880	4757936		cyclin	NM_004354	d1vin_1					
211560_s_at	AF130113.1	1448844_at	IPB000425	IPR001917	80777		Q9QWG1	Hs.381218	13385594		heme_1	NM_030579	d1cyo__	1.8.3.1				
211561_x_at	L35253.1	211561_x_at		IPR003527			Q9JLV8	Hs.381499										
211562_s_at	BC001755.1	211562_s_at	PR00049	IPR004934	25802	ENSG00000163431	Q99PM8	Hs.79386	284006		Tropomodulin	NM_012134						
211563_s_at	AB006572.1	rc_AA800053_at	IPB000547	IPR004127	8725	ENSG00000105176	RMP_HUMAN	Hs.7943	19924159		DUF232	NM_003796	d1fxkc_					
211564_s_at	BC003096.1	211564_s_at	IPB001478	IPR001781	8572	ENSG00000131435	RIL_RAT	Hs.424312	16876985		LIM	NM_003687						
211565_at	AF036272.1	211565_at																
211566_x_at	U19178.1	rc_AA944398_at			9577	ENSG00000158019	Q96P08	Hs.80426	16326573			NM_004899						
211567_at	J04168.1	rc_AI045440_at			6693	ENSG00000169639	LEUK_HUMAN	Hs.80738	126215			NM_003123						
211568_at	AB011122.1	rc_AA899198_at	IPB001862	IPR001879	577		O60297	Hs.8074	20521081		GPS	NM_001704						
211569_s_at	AF001903.1	rc_AI232033_at	IPB000447	IPR006180	3033	ENSG00000138796	Q16836	Hs.8110	20141424		3HCDH	NM_005327	d1f0ya1	5.3.3.8				
211570_s_at	BC004196.1	rc_AI237669_at	IPB001237	IPR001841	5913	ENSG00000165917	RAPS_MOUSE	Hs.81218	14249186		TPR	NM_005055						
211571_s_at	D32039.1	1375329_at	IPB003886	IPR003599	1462	ENSG00000038427	P70267	Hs.81800	19861780		Xlink	NM_004385	d1edmb_					
211572_s_at	AF092511.1	211572_s_at	IPB000444	IPR006043	9962	ENSG00000089057	SVC2_RAT	Hs.82042	20070364		xan_ur_permease	NM_005116						
211573_x_at	M98478.1	1369943_at	IPB001102	IPR002931	7052	ENSG00000101418	Q9BTN7	Hs.8265	20141877		Transglutamin_C	NM_004613	d1f13a2	2.3.2.13				
211574_s_at	D84105.1	94178_at	PR00343	IPR000436	4179		Q15429	Hs.83532	2135617		sushi	NM_172359	d1ckla1					
211575_s_at	AF116702.1	w30625_at	IPB000569	IPR000569	10109	ENSG00000114062	Q9CVB6	Hs.83583	5031599		HECT	NM_152862	d1c4za_					
211576_s_at	BC003068.1	1369412_a_at	IPB002666	IPR002666	6573	ENSG00000173638	P41440	Hs.84190	2136099		Folate_carrier	NM_003056						
211577_s_at	M37484.1	x04480_s_at	IPB003234	IPR004825	3479	ENSG00000017427	Q14620	Hs.85112	11024682		Insulin	NM_000618	d1imxa_					
211578_s_at	M60725.1	211578_s_at		IPR002290			Q9CST0	Hs.381407										
211579_at	U95204.1	99904_at	IPB003884	IPR002369	3690	ENSG00000056345	Q16157	Hs.87149	124968		integrin_B	NM_000212	d1jv2b2					
211580_s_at	AF028785.1	rc_AI234674_at	IPB001217	IPR001720	8503		Q9UMI3	Hs.372548	4505805		SH2	NM_003629	d1qada_					
211581_x_at	AF000426.1	211581_x_at			7940	ENSG00000096224	O00452	Hs.380427	20555581			NM_007161						
211582_x_at	AF000424.1	211582_x_at			7940	ENSG00000096224	O00454	Hs.380427	20555581			NM_007161						
211583_x_at	AF031136.1	211583_x_at		IPR003599	259197		O95668	Hs.88411	24475832		ig	NM_147130						
211584_s_at	U58852.1	rc_AI179920_at			4863	ENSG00000149308	Q13632	Hs.89385	1304114			NM_002519						
211585_at	U58852.1	rc_AI179920_at			4863	ENSG00000149308	Q13632	Hs.89385	1304114			NM_002519						
211586_s_at	M97260.1	rc_AA955388_s_at	IPB000150	IPR006069	491	ENSG00000157087	Q9CSC0	Hs.89512	190099		Cation_ATPase_N	NM_001683	d1eula_	3.6.1.38				
211587_x_at	M37981.1	L31621_s_at	IPB001175	IPR001175	1136	ENSG00000080644	Q9TUL6	Hs.89605	1458112		Neur_chan_LBD	NM_000743	d1i9ba_					
211588_s_at	AF230401.1	211588_s_at		IPR001841			Q9UE85	Hs.381618										
211589_at	AF230401.1	211589_at		IPR001841			Q9BZX8	Hs.381618										
211590_x_at	U11271.1	92685_at	IPB000276	IPR001105	6915	ENSG00000006638	O75228	Hs.89887	3024701		7tm_1	NM_001060						GPCR:TA2R_BOVIN
211591_s_at	L20965.1	M26715_at	IPB002073	IPR003607	5141	ENSG00000065989	P27815	Hs.89901	5453862		PDEase	NM_006202	d1f0ja_	3.1.4.17	MAP00230			
211592_s_at	L29536.1	l01776_s_at	PR00169	IPR005821	775	ENSG00000151067	Q9UDC4	Hs.89925	19923117		ion_trans	NM_000719						
211593_s_at	AB047005.1	1384957_at	PR01217	IPR002290	23139	ENSG00000086015	Q96LY3	Hs.101474	14149671		PDZ	NM_015112	d1cdka_	2.7.1.38		Mast205		
211594_s_at	AB049636.1	1427297_at	IPB000244	IPR000244	65005	ENSG00000143436	Q9CWC0	Hs.288936	13899231		Ribosomal_L9_N	NM_031420	d1div_2					
211595_s_at	AB049944.1	Z31203_s_at	IPB001971	IPR001971	64963	ENSG00000173892	RT11_MOUSE	Hs.111286	10438928		Ribosomal_S11	NM_022839	d1fjgk_					
211596_s_at	AB050468.1	D78572_s_at		IPR003600	26018		Q9UFI4	Hs.4193	14727577		LRR	NM_015541	d1cvsc1					
211597_s_at	AB059408.1	rc_AI102887_at	PR00031	IPR001356	84525	ENSG00000171476	Q8N0V6	Hs.13775	15559742		homeobox	NM_139212						
211598_x_at	U18810.1	211598_x_at					VIPS_HUMAN											
211599_x_at	U19348.1	1369218_at	IPB001060	IPR003659	4233	ENSG00000105976	Q9UMK4	Hs.316752	20543419		TIG	NM_000245	d1iepa_	2.7.1.37		MET		
211600_at	U20489.1	211600_at					Q9UBF0											
211601_at	U25433.1	211601_at			856		Q13166	Hs.367723										
211602_s_at	U31110.1	u95167_s_at	PR01097	IPR005821	7220	ENSG00000144935	TRP1_MOUSE	Hs.250687	2136328		ion_trans	NM_003304						
211603_s_at	U35622.2	211603_s_at		IPR000418	2118		Q9UGQ6	Hs.77711	1706718		Ets	NM_001986	d1duxc_					
211604_x_at	U38371.1	rc_AI071563_at	IPB001580	IPR000533	9001	ENSG00000173805	Q9NY90	Hs.158300				NM_003949						
211605_s_at	U41742.1	x57528_s_at	PR00350	IPR001841	5914	ENSG00000140464	P10276	Hs.250505	4160009		hormone_rec	NM_000964	d1fcya_					
211606_at	U43279.1	211606_at					Q12491											
211607_x_at	U48722.1	rc_AI233224_at	PR01186	IPR002174	1956	ENSG00000146648	Q92795	Hs.77432	2811086		Furin-like	NM_005228	d1iepa_	2.7.1.112		EGFR		
211608_at	U50073.1	211608_at		IPR003599	6957		TVB5_MOUSE	Hs.303157				NG_001333						
211609_x_at	U51007.1	rc_AI236731_at		IPR003903	5710		Q9JJM1	Hs.148495	5292161		UIM	NM_002810						
211610_at	U51869.1	AF001417_s_at	IPB000822	IPR000822	1316		O43839	Hs.285313	1848233		zf-C2H2	NM_001300						
211611_s_at	U52696.1	aa270355_s_at	IPB001871	IPR004827	1388	ENSG00000168468	Q9NWF0	Hs.42853	1359755		bZIP	NM_004381						
211612_s_at	U62858.1	211612_s_at	IPB003532	IPR003961	3597	ENSG00000131724	AAH09960	Hs.285115	16041775			NM_001560						
211613_s_at	U79250.1	1369666_at	PR00368	IPR006076	2820	ENSG00000115159	GPDM_HUMAN	Hs.93201	4504085		DAO	NM_000408	d1jnra2	1.1.99.5	MAP00561			
211614_at	U88898.1	211614_at					Q96L63											
211615_s_at	M92439.1	aa608160_s_at		IPR002885	10128	ENSG00000138095	P42704	Hs.182490	18959202		PPR	NM_133259						
211616_s_at	M86841.1	1369125_at	IPB000276	IPR002231	3356	ENSG00000102468	Q9P2Q9	Hs.298623	10835175		7tm_1	NM_000621						GPCR:5H2A_HUMAN
211617_at	M21191.1	211617_at			228		Q9CPQ9	Hs.381268										
211618_s_at	M31008.1	211618_s_at	IPB001952	IPR001952	248	ENSG00000163295	Q96CM1	Hs.37009	130744		alk_phosphatase	NM_001631	d1ew2a_	5.4.2.7	MAP00790			
211619_s_at	M13077.1	211619_s_at	IPB001952	IPR001952	250	ENSG00000163283	Q9UIL6	Hs.284255	13787195		alk_phosphatase	NM_001632	d1ew2a_	3.1.3.1	MAP00561			
211620_x_at	L21756.1	211620_x_at					Q99NC7											
211621_at	M73069.1	M23264_at	IPB000817	IPR001628	367	ENSG00000169083	O97891	Hs.99915	178872		Androgen_recep	NM_000044	d1i37a_					
211622_s_at	M33384.1	Msa.3060.0_s_at	PR00449	IPR005225	377	ENSG00000134287	Q9U2S4	Hs.119177	4502201		arf	NM_001659	d1rrga_					
211623_s_at	M30448.1	160503_at	IPB001442	IPR002952	2091	ENSG00000105202	Q9NGY7	Hs.99853	12056465		Fibrillarin	NM_001436	d1dl5a1	2.1.1.77				
211624_s_at	M30625.1	211624_s_at	IPB000276	IPR001922	1813	ENSG00000149295	D2DR_MOUSE	Hs.73893	3820492		7tm_1	NM_016574	d1hzxa_					GPCR:D2DR_HUMAN
211625_s_at	L20469.1	211625_s_at	IPB000276	IPR001620	1814	ENSG00000151577	Q9BXX6	Hs.121478	16445400		7tm_1	NM_033663						
211626_x_at	M21535.1	211626_x_at	IPB000418	IPR003118	2078		P11308	Hs.45514	4758300		Ets	NM_004449	d1bqv__					
211627_x_at	M69297.1	Msa.36383.0_f_at	PR00350	IPR001723	2099	ENSG00000091831	Q9UE35	Hs.1657	4503603		hormone_rec	NM_000125	d1qkna_					
211628_x_at	J04755.1	211628_x_at					Q9GMG9											
211630_s_at	L42531.1	101425_at		IPR005615	2937	ENSG00000100983	GSHB_RAT	Hs.82327	23574735		GSH_synth_ATP	NM_000178	d2hgsa1	6.3.2.3	MAP00480			
211631_x_at	M22921.1	211631_x_at	IPB003859	IPR003859	2683	ENSG00000086062	Q12911	Hs.198248	13929462		Galactosyl_T_2	NM_001497	d1j8wb_	2.4.1.22	MAP00602			
211632_at	L34163.1	211632_at					Q9BQB8											
211633_x_at	M24668.1	211633_x_at		IPR006020	9270	ENSG00000119185	Q9Z1C4	Hs.173274	15126673			NM_004763						
211634_x_at	M24669.1	X03690_s_at		IPR003599	3507		Q9Z1C4	Hs.153261										
211635_x_at	M24670.1	X03690_s_at		IPR003600	3507		Q9UP60	Hs.153261										
211636_at	L23515.1	211636_at					HV62_MOUSE											
211637_x_at	L23516.1	X03690_s_at		IPR003600	3507		Q9UL96	Hs.153261										
211638_at	L23517.1	X03690_s_at		IPR003597	3507		Q9UP60	Hs.153261										
211639_x_at	L23518.1	X03690_s_at		IPR003600	3507		Q96GA6	Hs.153261										
211640_x_at	L23519.1	211640_x_at		IPR003600	3507		Q9Y509	Hs.153261										
211641_x_at	L06101.1	X03690_s_at		IPR003598	3507		Q9UP60	Hs.153261										
211642_at	L06102.1	X03690_s_at		IPR003600	3507		Q9Y509	Hs.153261										
211643_x_at	L14457.1	211643_x_at		IPR003599	3514		KV1R_HUMAN	Hs.406565										
211644_x_at	L14458.1	211644_x_at		IPR003599	3514		Q9UL79	Hs.406565										
211645_x_at	M85256.1	211645_x_at		IPR003006	3514		Q9UL81	Hs.406565										
211646_at	L14453.1	211646_at					Q9UL93											
211647_x_at	L14454.1	211647_x_at					Q8WUK1											
211648_at	L14455.1	X03690_s_at		IPR003600	3507		Q9BUA1	Hs.153261										
211649_x_at	L14456.1	211649_x_at					Q9ULB6											
211650_x_at	L34164.1	X03690_s_at		IPR003600	3507		HV42_MOUSE	Hs.153261										
211651_s_at	M20206.1	m15525_s_at	IPB001762	IPR002049	3912	ENSG00000091136	Q9CRX6	Hs.82124	126367		laminin_EGF	NM_002291					Q27480	
211652_s_at	M35533.1	L32132_at	IPB001124	IPR001124	3929	ENSG00000129988	Q9H403	Hs.154078	10443246		LBP_BPI_CETP	NM_004139	d1ewfa1					
211653_x_at	M33376.1	211653_x_at			266745		Q9R0M9	Hs.391800										
211654_x_at	M17565.1	211654_x_at	IPB001003	IPR003597	3119	ENSG00000173434	Q9XRY6	Hs.73931	188201		MHC_II_beta	NM_002123	d1de4a2					
211655_at	D01059.1	211655_at		IPR003599	3535		Q9UL76	Hs.405944				NG_000002						
211656_x_at	M32577.1	v01527_s_at	IPB001003	IPR003597	3119	ENSG00000173434	Q9XRZ2	Hs.73931	188201		MHC_II_beta	NM_002123	d1de4a2					
211657_at	M18728.1	211657_at	IPB003006	IPR003600	4680	ENSG00000086548	Q14920	Hs.73848	19923221		ig	NM_002483						
211658_at	L19185.1	x82067_f_at	IPB000866	IPR000866	7001	ENSG00000167815	TSA2_YEAST	Hs.146354	13631440		AhpC-TSA	NM_005809	d1qmva_					
211659_at	M76676.1	211659_at		IPR000276	64582		Q14968	Hs.278077	12007654			NM_022571						
211660_at	M36653.1	1427713_x_at	IPB003350	IPR001356	5452	ENSG00000028277	Q16648	Hs.1101	4505959		homeobox	NM_002698	d1e3oc2					
211661_x_at	M80436.1	U04740_at	PR01533	IPR002282	5724	ENSG00000169403	P25105	Hs.46	4506241		7tm_1	NM_000952						GPCR:PAFR_HUMAN
211662_s_at	L08666.1	1370126_at	IPB001925	IPR001925	7417	ENSG00000165637	Q9UPL0	Hs.78902	4507881		Euk_porin	NM_003375						
211663_x_at	M61900.1	ab006361_s_at	IPB000566	IPR002972	5730	ENSG00000107317	PGHD_RAT	Hs.8272	18028972		lipocalin	NM_000954	d1qqsa_	5.3.99.2	MAP00590			
211665_s_at	L20686.1	211665_s_at		IPR002965	6655		SOS2_HUMAN	Hs.406365										
211666_x_at	L22453.1	1372513_at	IPB000597	IPR000597	6122		RL3_MOUSE	Hs.119598	14250148		Ribosomal_L3	NM_000967	d1jj2b_					
211667_x_at	L34698.1	211667_x_at		IPR003599	6955		Q8WUD0	Hs.74647										
211668_s_at	K03226.1	x02389_s_at	IPB000126	IPR001314	5328	ENSG00000122861	UROK_HUMAN	Hs.77274	137112		kringle	NM_002658	d1ejna_	3.4.21.73				
211670_x_at	S82471.1	211670_x_at	IPB001909	IPR003655	10214	ENSG00000165584	SSX5_HUMAN	Hs.178749	10337601		KRAB	NM_021014						
211671_s_at	U01351.1	1460303_at	PR00350	IPR001723	2908	ENSG00000113580	Q95J10	Hs.75772	4504133		GCR	NM_000176	d1i37a_					
211672_s_at	AF019888.1	aa727619_at			10093	ENSG00000156983	Q96QJ3	Hs.323342	12857620			NM_005718	d1k8kf_					
211673_s_at	AF034374.1	rc_AI058395_at		IPR002820	4337		Q9UEM1	Hs.349416	20555317		MoaC	NM_138928	d1ekra_	2.8.1.6				
211674_x_at	AF038567.1	211674_x_at	IPB001073		1485	ENSG00000165741	Q9Y479	Hs.167379	3255959			NM_001327						
211675_s_at	AF054589.1	211675_s_at		IPR000561	29969	ENSG00000135272	Q9P1T7	Hs.132739										
211676_s_at	AF056979.1	rc_AI233970_at		IPR000282	3459	ENSG00000027697	INGR_HUMAN	Hs.180866	13562049			NM_000416	d1fyhb1					
211677_x_at	AF062733.2	211677_x_at	IPB003006	IPR003600	57863		AAN75603	Hs.6164	11056046		ig	NM_021189						
211678_s_at	AF090934.1	1427874_at	IPB001841	IPR000822	55905	ENSG00000124226	Q9Y508	Hs.10590	20454201		zf-C3HC4	NM_018683						
211679_x_at	AF095784.1	1387383_at	PR00049	IPR002457	9568		Q9QWU2	Hs.198612	12643641		7tm_3	NM_005458	d1dp4a_					
211680_at	AF116705.1	211680_at					Q9P1D1	Hs.383377										
